DATE,TOTRA
1925-12-16,5269.926
1925-12-23,5151.513
1925-12-30,5183.158
1926-01-06,5138.85
1926-01-13,5075.895
1926-01-20,4985.596
1926-01-27,4865.929
1926-02-03,4865.503
1926-02-10,4871.687
1926-02-17,5029.751
1926-02-24,4942.439
1926-03-03,4974.423
1926-03-10,4884.769
1926-03-17,5039.004
1926-03-24,4916.312
1926-03-31,4902.598
1926-04-07,4869.782
1926-04-14,5088.459
1926-04-21,4879.859
1926-04-28,4841.584
1926-05-05,4897.349
1926-05-12,4908.211
1926-05-19,4958.582
1926-05-26,4854.482
1926-06-02,4951.259
1926-06-09,4901.784
1926-06-16,5119.348
1926-06-23,4902.858
1926-06-30,4904.358
1926-07-07,4998.511
1926-07-14,5062.911
1926-07-21,4924.873
1926-07-28,4863.108
1926-08-04,4885.285
1926-08-11,4883.637
1926-08-18,4954.937
1926-08-25,4874.736
1926-09-01,4915.587
1926-09-08,4948.594
1926-09-15,5306.963
1926-09-22,5075.315
1926-09-29,5035.363
1926-10-06,5004.905
1926-10-13,5121.421
1926-10-20,5080.56
1926-10-27,5017.063
1926-11-03,5065.122
1926-11-10,5027.234
1926-11-17,5197.117
1926-11-24,5045.985
1926-12-01,5132.521
1926-12-08,5066.237
1926-12-15,5399.706
1926-12-22,5236.603
1926-12-29,5224.133
1927-01-05,5300.254
1927-01-12,5073.371
1927-01-19,5039.023
1927-01-26,4883.09
1927-02-02,4937.168
1927-02-09,4864.946
1927-02-16,5128.211
1927-02-23,4874.303
1927-03-02,5012.298
1927-03-09,4919.734
1927-03-16,5194.631
1927-03-23,5008.019
1927-03-30,4970.584
1927-04-06,4945.172
1927-04-13,5099.278
1927-04-20,5062.722
1927-04-27,5004.664
1927-05-04,5086.087
1927-05-11,5016.529
1927-05-18,5116.276
1927-05-25,4998.514
1927-06-01,5132.526
1927-06-08,5080.237
1927-06-15,5313.456
1927-06-22,5056.476
1927-06-29,5060.267
1927-07-06,5093.861
1927-07-13,5112.417
1927-07-20,5030.222
1927-07-27,4919.92
1927-08-03,5010.786
1927-08-10,4939.742
1927-08-17,5022.656
1927-08-24,4958.639
1927-08-31,4945.388
1927-09-07,5097.99
1927-09-14,5220.757
1927-09-21,5099.361
1927-09-28,5072.479
1927-10-05,5182.233
1927-10-12,5218.905
1927-10-19,5297.071
1927-10-26,5130.515
1927-11-02,5152.393
1927-11-09,5166.941
1927-11-16,5466.667
1927-11-23,5194.642
1927-11-30,5145.467
1927-12-07,5158.349
1927-12-14,5353.632
1927-12-21,5280.08
1927-12-28,5333.839
1928-01-04,5440.513
1928-01-11,5181.771
1928-01-18,5126.861
1928-01-25,4942.522
1928-02-01,4981.035
1928-02-08,4952.899
1928-02-15,5144.758
1928-02-22,4991.8
1928-02-29,4974.845
1928-03-07,4951.016
1928-03-14,5060.702
1928-03-21,4954.607
1928-03-28,4920.951
1928-04-04,5042.858
1928-04-11,5069.594
1928-04-18,5088.984
1928-04-25,5035.251
1928-05-02,5112.187
1928-05-09,5041.105
1928-05-16,5120.041
1928-05-23,4999.472
1928-05-30,4986.317
1928-06-06,5029.347
1928-06-13,5125.573
1928-06-20,5037.889
1928-06-27,4963.462
1928-07-03,5195.121
1928-07-11,5062.523
1928-07-18,5036.074
1928-07-25,4924.182
1928-08-01,5000.197
1928-08-08,4907.779
1928-08-15,5028.75
1928-08-22,4954.31
1928-08-29,4941.248
1928-09-05,5025.275
1928-09-12,5176.249
1928-09-19,5275.31
1928-09-26,5094.554
1928-10-03,5226.43
1928-10-10,5146.728
1928-10-17,5424.164
1928-10-24,5187.892
1928-10-31,5198.038
1928-11-07,5180.222
1928-11-14,5444.737
1928-11-21,5249.675
1928-11-28,5258.192
1928-12-05,5330.571
1928-12-12,5435.846
1928-12-19,5418.479
1928-12-26,5443.401
1929-01-02,5584.714
1929-01-09,5242.914
1929-01-16,5300.968
1929-01-23,5125.193
1929-01-30,5093.53
1929-02-06,5102.145
1929-02-13,5143.935
1929-02-20,5107.1
1929-02-27,5166.586
1929-03-06,5123.783
1929-03-13,5182.99
1929-03-20,5143.043
1929-03-27,5107.312
1929-04-03,5146.975
1929-04-10,5054.053
1929-04-17,5214.086
1929-04-24,5080.665
1929-05-01,5164.887
1929-05-08,5097.565
1929-05-15,5235.041
1929-05-22,5056.798
1929-05-29,5034.892
1929-06-05,5103.318
1929-06-12,5150.751
1929-06-19,5199.325
1929-06-26,5147.477
1929-07-03,5326.429
1929-07-10,5282.468
1929-07-17,5380.974
1929-07-24,5278.382
1929-07-31,5232.672
1929-08-07,5231.203
1929-08-14,5357.092
1929-08-21,5267.203
1929-08-28,5222.496
1929-09-04,5355.111
1929-09-11,5395.032
1929-09-18,5573.89
1929-09-25,5431.421
1929-10-02,5506.927
1929-10-09,5377.749
1929-10-16,5718.121
1929-10-23,5451.97
1929-10-30,5754.363
1929-11-06,5675.839
1929-11-13,5895.496
1929-11-20,5677.676
1929-11-27,5476.613
1929-12-04,5483.042
1929-12-11,5433.322
1929-12-18,5624.456
1929-12-24,5472.278
1929-12-31,5458.445
1930-01-08,5320.282
1930-01-15,5314.666
1930-01-22,5202.161
1930-01-29,5062.534
1930-02-05,5079.762
1930-02-12,5112.972
1930-02-19,5124.287
1930-02-26,5147.303
1930-03-05,5035.622
1930-03-12,5057.79
1930-03-19,5030.587
1930-03-26,4968.435
1930-04-02,5075.305
1930-04-09,4977.588
1930-04-16,5142.213
1930-04-23,5016.056
1930-04-30,4973.881
1930-05-07,4936.018
1930-05-14,5030.438
1930-05-21,4951.348
1930-05-28,4902.359
1930-06-04,4973.47
1930-06-11,4951.202
1930-06-18,5049.928
1930-06-25,4879.943
1930-07-02,4983.265
1930-07-09,4917.943
1930-07-16,4991.299
1930-07-23,4835.649
1930-07-30,4761.621
1930-08-06,4710.758
1930-08-13,4816.686
1930-08-20,4782.849
1930-08-27,4759.243
1930-09-03,4822.28
1930-09-10,4806.377
1930-09-17,5001.383
1930-09-24,4827.305
1930-10-01,4878.977
1930-10-08,4833.103
1930-10-15,5106.531
1930-10-22,4896.634
1930-10-29,4856.183
1930-11-05,4840.483
1930-11-12,4968.122
1930-11-19,4959.012
1930-11-26,4867.447
1930-12-03,4953.737
1930-12-10,4942.237
1930-12-17,5265.727
1930-12-24,5128.693
1930-12-31,5200.648
1931-01-07,5078.228
1931-01-14,5078.701
1931-01-21,4957.39
1931-01-28,4855.382
1931-02-04,4843.46
1931-02-11,4790.552
1931-02-18,4848.848
1931-02-25,4848.15
1931-03-04,4848.08
1931-03-11,4843.007
1931-03-18,4924.814
1931-03-25,4786.854
1931-04-01,4889.616
1931-04-08,4866.442
1931-04-15,4946.715
1931-04-22,4919.286
1931-04-29,4906.844
1931-05-06,4941.197
1931-05-13,4993.703
1931-05-20,4961.207
1931-05-27,4925.181
1931-06-03,5044.674
1931-06-10,4995.801
1931-06-17,5165.871
